table_name,full_name,table_role,primary_key,row_count,owner,table_type,data_format,source_comment,column_count,id_column_count,measure_columns,storage_path
d_manufacturers,dev_iqvia_catalog.trusted_starschema_01.d_manufacturers,dimension,MANUFACTURER_ID,68307,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,5,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/509ebc19-297f-4504-b7e8-81d730efccd3
d_material_left_abstr_clinical_lit_data,dev_iqvia_catalog.trusted_starschema_01.d_material_left_abstr_clinical_lit_data,dimension,MATERIAL_LEFT_ABSTR_CLINICAL_LIT_DATA_ID,15,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/eff27818-16ba-47a4-9c3b-20341400992e
d_material_left_other,dev_iqvia_catalog.trusted_starschema_01.d_material_left_other,dimension,MATERIAL_LEFT_OTHER_ID,12,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/e28543fe-003f-4fba-9a33-e81dd723d9d0
d_material_left_patient_educational_lit,dev_iqvia_catalog.trusted_starschema_01.d_material_left_patient_educational_lit,dimension,MATERIAL_LEFT_PATIENT_EDUCATIONAL_LIT_ID,15,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/3507fd03-b72e-4aad-b800-1e061b229826
d_material_left_promotional_product_lit,dev_iqvia_catalog.trusted_starschema_01.d_material_left_promotional_product_lit,dimension,MATERIAL_LEFT_PROMOTIONAL_PRODUCT_LIT_ID,15,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/4213d07b-fcaf-403f-89e7-1b78ccda4560
d_material_left_samples,dev_iqvia_catalog.trusted_starschema_01.d_material_left_samples,dimension,MATERIAL_LEFT_SAMPLE_ID,15,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/69d12520-c0b2-4153-9e26-f293d130ed06
d_meeting_types,dev_iqvia_catalog.trusted_starschema_01.d_meeting_types,dimension,MEETING_TYPE_ID,70,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/2160e382-359b-42f5-b453-2455a6296d94
d_molecules,dev_iqvia_catalog.trusted_starschema_01.d_molecules,dimension,MOLECULE_ID,187470,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,4,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/b94ef4fa-76c5-4173-b738-222457d9bfe6
d_nps,dev_iqvia_catalog.trusted_starschema_01.d_nps,dimension,NPS_SCALE_ID,60,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,4,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/1369ac1e-28c8-48d8-bbd1-389ad3b017b1
d_prescription_current,dev_iqvia_catalog.trusted_starschema_01.d_prescription_current,dimension,PRESCRIPTION_CURRENT_ID,35,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/270b3afb-03f9-4ce0-93ea-a145c178dc2f
d_prescription_future,dev_iqvia_catalog.trusted_starschema_01.d_prescription_future,dimension,PRESCRIPTION_FUTURE_ID,25,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,3,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/3e08ff92-f9bd-4b55-b2cf-b55e146f6f69
d_presentation_position,dev_iqvia_catalog.trusted_starschema_01.d_presentation_position,dimension,PRESENTATION_POSITION_ID,200,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,4,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/b597a4e9-72ee-4494-b2bd-4d20e34623bb
d_products_presented,dev_iqvia_catalog.trusted_starschema_01.d_products_presented,dimension,PRODUCT_PRESENTED_ID,165,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,4,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/90a900e4-0747-4b9f-a008-60a5754999f4
d_reconstructed_markets,dev_iqvia_catalog.trusted_starschema_01.d_reconstructed_markets,dimension,MARKET_ID,104,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,5,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/a04f6ea1-c3ca-4a63-98ec-8fc0e76ca7ad
d_representing_company,dev_iqvia_catalog.trusted_starschema_01.d_representing_company,dimension,REPRESENTING_COMPANY_ID,68306,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,5,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/8b35e505-05ae-41bf-bfbd-d371e25b5336
d_specialty,dev_iqvia_catalog.trusted_starschema_01.d_specialty,dimension,SPECIALTY_ID,129,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,5,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/35e59533-ac25-410f-8283-c517ce6f79ac
d_sponsoring_companies,dev_iqvia_catalog.trusted_starschema_01.d_sponsoring_companies,dimension,SPONSORING_COMPANY_ID,68305,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,5,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/620accd2-78d8-450c-8c65-cbfa4b2d145c
d_time,dev_iqvia_catalog.trusted_starschema_01.d_time,dimension,MONTH_ID,51,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,9,4,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/edb00c8b-8449-4ce9-b547-2072a95582e4
d_visit_duration,dev_iqvia_catalog.trusted_starschema_01.d_visit_duration,dimension,VISIT_DURATION_ID,995,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,4,1,,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/23e1c1b1-a9e9-4a3e-8101-f17c81886d80
f_channel_dynamic_data,dev_iqvia_catalog.trusted_starschema_01.f_channel_dynamic_data,fact,F_CDD_ID,10817381,ccantamaglia@ext.menarini.com,MANAGED,DELTA,,39,30,CONTACT_NUMBER|MENTIONS|NON_WEIGHTED_CALLS|PRODUCT_DETAILS|QUALITY_INDEX|SPENDING_TOTAL_EUR|WEIGHTED_CALLS|CONVERTED_CONTACTS,gs://mgcp-dev-channeldynamics-catalog-bucket/channeldynamics/__unitystorage/catalogs/4f07c301-85ab-418f-a04a-30f3bb77f0b3/tables/d0a23948-1477-48e2-8079-63bb8c8d683f
